StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,inherentSimilarity,hetereogenous,inductivePotential,internalCause,invented,constructedBoundary,immutability,attentionCheck,attentionCheck2,age,gender,gender_4_TEXT,race,race_15_TEXT,education,debrief_1,debrief_2,debrief_3,Create New Field or Choose From Dropdown...,condition,cb
2020-03-03 18:07:59,2020-03-03 18:10:53,IP Address,66.44.8.137,100,173,True,2020-03-03 18:10:53,R_3EGztk6rDYlbJgV,,,,,38.9994049072265625,-77.033599853515625,anonymous,EN,I do consent to participate,Mostly Agree,Slightly Disagree,Totally Disagree,Mostly Disagree,Totally Agree,Totally Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,"Had striped hair on the back of their head,Liked to write poetry",43,Male,,White/European American,,"Master's (M.A., M.S.)",No,I think it was to use a character that was a proxy for everyday people.,,,control,essentialismKind
2020-03-03 18:08:02,2020-03-03 18:10:59,IP Address,69.251.175.240,100,176,True,2020-03-03 18:10:59,R_12KfDrhQYk2pGNn,,,,,39.3887939453125,-76.49880218505859375,anonymous,EN,I do consent to participate,Slightly Agree,Mostly Agree,Slightly Disagree,Mostly Agree,Mostly Disagree,Slightly Disagree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,"Had striped hair on the back of their head,Had freckles on their feet",34,Male,,White/European American,,High school/GED,no,To understand our perspective on the situation,No,,control,kindEssentialism
2020-03-03 18:09:15,2020-03-03 18:11:02,IP Address,75.38.182.192,100,106,True,2020-03-03 18:11:02,R_21ciX2virRE5mJi,,,,,42.568603515625,-83.066802978515625,anonymous,EN,I do consent to participate,Mostly Agree,Slightly Agree,Mostly Disagree,Mostly Disagree,Totally Agree,Totally Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Had striped hair on the back of their head,Had freckles on their feet,Liked to write poetry",33,Male,,White/European American,,"Bachelor's (B.A., B.S.)",No,To see how people feel about different traits of different beings.,No,,formal,essentialismKind
2020-03-03 18:08:44,2020-03-03 18:11:12,IP Address,199.111.227.228,100,147,True,2020-03-03 18:11:13,R_2bORhHFHzhf2TnE,,,,,38.093597412109375,-78.5623016357421875,anonymous,EN,I do consent to participate,Mostly Disagree,Slightly Disagree,Slightly Disagree,Mostly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head,Had freckles on their feet",21,Female,,Click to write Choice 8,,Some college,no,association of characteristics with certain group of people,,,generic,kindEssentialism
2020-03-03 18:08:31,2020-03-03 18:11:18,IP Address,24.118.13.112,100,166,True,2020-03-03 18:11:18,R_1li7wpJIcx3CeSn,,,,,44.953399658203125,-93.3842010498046875,anonymous,EN,I do consent to participate,Mostly Agree,Slightly Disagree,Slightly Agree,Mostly Disagree,Slightly Agree,Mostly Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head,Had freckles on their feet",39,Male,,White/European American,,Some college,No,You wanted to see how we viewed fictional characters and if we thought they were all the same?,I wouldn't change anything.  Thank you!,,generic,kindEssentialism
2020-03-03 18:08:47,2020-03-03 18:11:19,IP Address,47.156.39.170,100,151,True,2020-03-03 18:11:19,R_3mmeluxB0yGCzYc,,,,,33.7957000732421875,-116.935302734375,anonymous,EN,I do consent to participate,Slightly Disagree,Slightly Disagree,Mostly Disagree,Mostly Disagree,Mostly Agree,Slightly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Had striped hair on the back of their head,Had freckles on their feet",23,Male,,White/European American,,"Doctoral (Ph.D., J.D., M.D.)",No,To evaluate if we see a group of people as all having the same characteristics.,No,,generic,kindEssentialism
2020-03-03 18:08:43,2020-03-03 18:11:20,IP Address,68.38.105.154,100,157,True,2020-03-03 18:11:20,R_1ML1D6sNA9DavrV,,,,,39.5084075927734375,-85.79000091552734375,anonymous,EN,I do consent to participate,Totally Agree,Totally Disagree,Slightly Agree,Totally Agree,Totally Agree,Totally Agree,Totally Disagree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head,Had freckles on their feet,Were scared of the sun",31,Female,,White/European American,,"Bachelor's (B.A., B.S.)",None,Preconceived notions of how people get the traits they do,,,formal,essentialismKind
2020-03-03 18:08:36,2020-03-03 18:11:24,IP Address,207.212.124.132,100,168,True,2020-03-03 18:11:25,R_12GxPYUoglLPPts,,,,,33.2845001220703125,-84.591796875,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Agree,Slightly Agree,Totally Agree,Slightly Agree,Mostly Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,Built their home underground,41,Female,,Black/African American,,"Master's (M.A., M.S.)",no,interesting,improve,,generic,essentialismKind
2020-03-03 18:09:14,2020-03-03 18:11:28,IP Address,136.160.90.41,100,133,True,2020-03-03 18:11:28,R_5o7dxdgnPGbYGB3,,,,,38.9741973876953125,-76.59490203857421875,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Slightly Agree,Slightly Agree,Mostly Agree,Mostly Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,"Drew stars on their knees,Had striped hair on the back of their head,Had freckles on their feet",19,Male,,Click to write Choice 8,,Some college,,How a description of a species influences perceptions of the species,,,generic,kindEssentialism
2020-03-03 18:10:00,2020-03-03 18:11:35,IP Address,104.153.221.101,100,95,True,2020-03-03 18:11:36,R_1gNlLkXrtsEjHNu,,,,,38.6548004150390625,-92.781402587890625,anonymous,EN,I do consent to participate,Totally Agree,Totally Disagree,Totally Agree,Slightly Agree,Totally Agree,Totally Agree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head,Had freckles on their feet,Liked to write poetry",49,Male,,White/European American,,Some college,No issues,I don't know,No suggestions.,,generic,essentialismKind
2020-03-03 18:08:02,2020-03-03 18:11:44,IP Address,108.4.213.75,100,222,True,2020-03-03 18:11:45,R_2RWCAryup0adHG4,,,,,40.158599853515625,-75.2819976806640625,anonymous,EN,I do consent to participate,Mostly Disagree,Totally Agree,Mostly Disagree,Mostly Agree,Slightly Disagree,Slightly Disagree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had freckles on their feet",39,Male,,White/European American,,"Bachelor's (B.A., B.S.)",None,I have no idea,None,,control,kindEssentialism
2020-03-03 18:08:23,2020-03-03 18:11:48,IP Address,71.207.144.217,100,205,True,2020-03-03 18:11:48,R_PO4Edu4MLjyHt7z,,,,,37.46380615234375,-77.39800262451171875,anonymous,EN,I do consent to participate,Totally Agree,Totally Disagree,Totally Agree,Totally Disagree,Totally Agree,Totally Disagree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head,Had freckles on their feet",46,Female,,Black/African American,,Some college,No,Interesting,No,,formal,kindEssentialism
2020-03-03 18:08:27,2020-03-03 18:11:50,IP Address,24.250.244.40,100,203,True,2020-03-03 18:11:51,R_3QLaNNyD0JinipG,,,,,29.1656951904296875,-82.12729644775390625,anonymous,EN,I do consent to participate,Slightly Disagree,Slightly Agree,Slightly Disagree,Mostly Disagree,Slightly Agree,Slightly Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head,Had freckles on their feet",48,Male,,White/European American,,"Master's (M.A., M.S.)",no,I think I am a Zarpie,no,,formal,kindEssentialism
2020-03-03 18:09:07,2020-03-03 18:12:09,IP Address,47.40.120.143,100,182,True,2020-03-03 18:12:10,R_3iKyuygkl1u0ksH,,,,,45.6728057861328125,-121.539794921875,anonymous,EN,I do consent to participate,Mostly Disagree,Mostly Disagree,Slightly Disagree,Mostly Disagree,Mostly Agree,Mostly Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head,Had freckles on their feet",21,Female,,White/European American,,High school/GED,No,How people felt about living beings that were not defined as human,Everything was great!,,control,essentialismKind
2020-03-03 18:08:29,2020-03-03 18:12:20,IP Address,24.107.4.140,100,231,True,2020-03-03 18:12:21,R_3e4VMGLvKZe4cJ5,,,,,38.704803466796875,-90.461700439453125,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Slightly Agree,Mostly Agree,Mostly Disagree,Mostly Disagree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head,Had freckles on their feet,Were scared of the sun",23,Female,,White/European American,,"Bachelor's (B.A., B.S.)",No,Perception of individuality after reading the characteristics,"I wasn't sure if the ""Zarpies were invented by humans"" questions were referring to Zarpies as a species or Zarpies in their context as a children's book character set",,generic,essentialismKind
2020-03-03 18:09:22,2020-03-03 18:12:21,IP Address,73.169.159.58,100,178,True,2020-03-03 18:12:21,R_2aRJaa822XLTcBw,,,,,47.7344970703125,-117.44699859619140625,anonymous,EN,I do consent to participate,Totally Disagree,Slightly Agree,Mostly Disagree,Mostly Agree,Totally Disagree,Mostly Agree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head,Had freckles on their feet",30,Male,,White/European American,,Some college,No,Opinions on different groups and what makes them unique.,None,,control,kindEssentialism
2020-03-03 18:10:03,2020-03-03 18:12:25,IP Address,72.49.53.109,100,142,True,2020-03-03 18:12:26,R_3KNPWfK5v9iFcfe,,,,,39.08050537109375,-84.455902099609375,anonymous,EN,I do consent to participate,Slightly Disagree,Mostly Agree,Mostly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Had striped hair on the back of their head,Had freckles on their feet",35,Female,,White/European American,,"Master's (M.A., M.S.)",No,How we assess the other-ness of a fictional people,None,,control,essentialismKind
2020-03-03 18:08:07,2020-03-03 18:12:36,IP Address,73.233.171.192,100,268,True,2020-03-03 18:12:36,R_332uFJt8SHcZTkQ,,,,,40.0865020751953125,-74.9824981689453125,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Mostly Disagree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Had freckles on their feet",57,Female,,White/European American,,Some college,Nope!,Opinions based on broad information.,No it responded great!,,generic,kindEssentialism
2020-03-03 18:09:16,2020-03-03 18:12:53,IP Address,45.4.199.135,100,216,True,2020-03-03 18:12:53,R_3g7d9KI4x9jW8IB,,,,,40.75030517578125,-74.00140380859375,anonymous,EN,I do consent to participate,Mostly Agree,Totally Agree,Mostly Agree,Totally Agree,Slightly Agree,Mostly Agree,Mostly Agree,Writing an essay about the political views of Zarpies,Built their home underground,29,Male,,White/European American,,"Master's (M.A., M.S.)",no,childran,no,,generic,essentialismKind
2020-03-03 18:08:50,2020-03-03 18:13:02,IP Address,75.89.79.125,100,252,True,2020-03-03 18:13:02,R_UbYKv0aivSJgrId,,,,,41.407806396484375,-92.91719818115234375,anonymous,EN,I do consent to participate,Slightly Agree,Slightly Disagree,Mostly Disagree,Totally Agree,Mostly Agree,Mostly Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head",30,Male,,White/European American,,"Doctoral (Ph.D., J.D., M.D.)",No problems at all,I think it is asking about racial groups in a veiled way,Nothing immediately jumps out to me,,control,essentialismKind
2020-03-03 18:08:27,2020-03-03 18:13:08,IP Address,67.168.160.235,100,281,True,2020-03-03 18:13:09,R_3ML7NxOuJLE8zVE,,,,,47.7346038818359375,-122.347900390625,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Agree,Slightly Disagree,Mostly Disagree,Totally Agree,Slightly Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head,Had freckles on their feet,Liked to write poetry",65,Male,,White/European American,,Some college,No problems.,Our perceptions of Zarpies.,It was fine.,,control,essentialismKind
2020-03-03 18:08:12,2020-03-03 18:13:19,IP Address,72.28.60.216,100,306,True,2020-03-03 18:13:19,R_2AQgVblg7PNwXJH,,,,,41.57440185546875,-75.58809661865234375,anonymous,EN,I do consent to participate,Mostly Disagree,Mostly Agree,Mostly Disagree,Slightly Agree,Totally Agree,Slightly Disagree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had freckles on their feet,Were scared of the sun",25,Female,,White/European American,,"Bachelor's (B.A., B.S.)",No,How adults interpret children's stories,A little more information about what a Zarpie is.,,control,kindEssentialism
2020-03-03 18:08:56,2020-03-03 18:13:19,IP Address,173.81.52.64,100,262,True,2020-03-03 18:13:19,R_re8jpQPIKwzasM1,,,,,39.189697265625,-81.5139007568359375,anonymous,EN,I do consent to participate,Mostly Disagree,Mostly Agree,Totally Disagree,Mostly Disagree,Mostly Agree,Slightly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head",29,Male,,White/European American,,Some college,I didn't have any issues.,I would guess that this survey is seeing what people think about a fictional race based on the information they are given.,"No, not that I can think of. Maybe pictures of the Zarpies.",,formal,kindEssentialism
2020-03-03 18:08:35,2020-03-03 18:13:20,IP Address,107.190.199.247,100,285,True,2020-03-03 18:13:20,R_UFN4EJJqEsOfioN,,,,,34.4958953857421875,-86.259002685546875,anonymous,EN,I do consent to participate,Mostly Agree,Totally Disagree,Mostly Agree,Totally Agree,Totally Agree,Totally Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head",43,Female,,White/European American,,"Master's (M.A., M.S.)",no,how someone perceives something as a whole based on individual characteristics,fun survey!,,formal,essentialismKind
2020-03-03 18:09:12,2020-03-03 18:13:28,IP Address,76.116.193.230,100,255,True,2020-03-03 18:13:28,R_2uQgWdYZ7FOvoEl,,,,,40.6367950439453125,-74.37270355224609375,anonymous,EN,I do consent to participate,Slightly Agree,Slightly Disagree,Slightly Agree,Mostly Disagree,Mostly Agree,Mostly Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head,Had freckles on their feet",44,Male,,White/European American,,Some college,No,Nice,No,,formal,kindEssentialism
2020-03-03 18:09:40,2020-03-03 18:13:28,IP Address,24.73.15.118,100,227,True,2020-03-03 18:13:28,R_3IPLEEEevxYyvL5,,,,,28.32989501953125,-82.285003662109375,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Mostly Agree,Mostly Agree,Slightly Agree,Mostly Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head,Were scared of the sun,Liked to write poetry",32,Male,,White/European American,,Some college,,How people judge the similarity of a group of people based on stereotypes of them.,,,formal,kindEssentialism
2020-03-03 18:11:21,2020-03-03 18:13:30,IP Address,107.12.26.16,100,129,True,2020-03-03 18:13:30,R_wLtmIfK9bFi1cJz,,,,,34.72210693359375,-76.754302978515625,anonymous,EN,I do consent to participate,Slightly Agree,Mostly Disagree,Mostly Agree,Slightly Agree,Mostly Disagree,Mostly Disagree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head,Had freckles on their feet",32,Male,,White/European American,,"Master's (M.A., M.S.)",I did not have any problems,determining how people feel about different races,"I would not change anything ",,generic,kindEssentialism
2020-03-03 18:09:16,2020-03-03 18:13:32,IP Address,45.25.145.182,100,255,True,2020-03-03 18:13:32,R_QaWUhJnY0fGsfOV,,,,,41.42529296875,-87.35649871826171875,anonymous,EN,I do consent to participate,Mostly Disagree,Mostly Agree,Mostly Disagree,Mostly Disagree,Totally Agree,Slightly Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,"Drew stars on their knees,Had striped hair on the back of their head,Had freckles on their feet",30,Male,,White/European American,,"Master's (M.A., M.S.)",no,How we view different ethnic groups.,NA,,formal,kindEssentialism
2020-03-03 18:09:12,2020-03-03 18:13:35,IP Address,99.174.166.43,100,262,True,2020-03-03 18:13:35,R_AyxsXs1dPKTH1At,,,,,37.966796875,-87.49120330810546875,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Mostly Agree,Totally Agree,Mostly Agree,Totally Disagree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head,Had freckles on their feet",63,Female,,White/European American,,"Master's (M.A., M.S.)","I couldn't remember absolutely everything about the Zarpie's features. I know I was correct in the attention check questions I checked, but it's possible I might have overlooked some correct answers as well just because there was too much information to remember.",Judging people on nature versus nurture.,"If you wanted genuine answers, it would have been helpful to have been able to refer to the list of features. It was hard to remember enough of them to be sure I was answering the questions consistent with what I believed.",,generic,essentialismKind
2020-03-03 18:08:41,2020-03-03 18:13:35,IP Address,207.173.79.34,100,294,True,2020-03-03 18:13:35,R_1gbjs7kVqgwUUTQ,,,,,47.6660003662109375,-117.4358978271484375,anonymous,EN,I do consent to participate,Mostly Disagree,Slightly Agree,Mostly Disagree,Slightly Agree,Mostly Disagree,Slightly Disagree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,"Drew stars on their knees,Had striped hair on the back of their head",56,Male,,White/European American,,Some college,I was expecting to see pictures along with the text about the individual zarpies.  It seemed that there should be illustrations for a children's story but there weren't any.,I have to assume that you're studying perceptions of traits by race in some way.,"Well, I would include illustrations but I don't know if that would actually improve it or not.",,control,kindEssentialism
2020-03-03 18:11:37,2020-03-03 18:13:55,IP Address,69.139.30.85,100,138,True,2020-03-03 18:13:55,R_2dZskQcI8gKTcpf,,,,,40.1136016845703125,-74.93959808349609375,anonymous,EN,I do consent to participate,Mostly Disagree,Slightly Disagree,Slightly Agree,Mostly Agree,Totally Agree,Totally Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,"Wrapped their baby in orange blankets,Drew stars on their knees,Had striped hair on the back of their head,Had freckles on their feet",22,Female,,"White/European American,Latino/Latina",,"Bachelor's (B.A., B.S.)",No,Seeing how people viewed an out-group as all the same or not,No changes!,,formal,essentialismKind
