StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,inherentSimilarity,hetereogenous,inductivePotential,internalCause,invented,constructedBoundary,immutability,attentionCheck,age,gender,gender_4_TEXT,race,race_15_TEXT,education,debrief_1,debrief_2,debrief_3,condition,Create New Field or Choose From Dropdown...,cb
2020-02-18 17:15:42,2020-02-18 17:17:43,IP Address,68.98.33.180,100,120,True,2020-02-18 17:17:43,R_3szEEMx4d4uD2Er,,,,,33.24090576171875,-111.77919769287109375,anonymous,EN,I do consent to participate,Mostly Disagree,Mostly Agree,Mostly Disagree,Mostly Disagree,Mostly Agree,Mostly Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,30,Male,,"White/European American,Black/African American",,"Bachelor's (B.A., B.S.)",,,,formal,,kindEssentialism
2020-02-18 17:15:48,2020-02-18 17:18:10,IP Address,68.201.176.226,100,141,True,2020-02-18 17:18:10,R_DPjv9VmQRN6KPzr,,,,,26.2140045166015625,-98.32669830322265625,anonymous,EN,I do consent to participate,Mostly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Mostly Agree,Slightly Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,40,Male,,"White/European American,Latino/Latina",,"Bachelor's (B.A., B.S.)",none,"reference ","cool beans ",control,,essentialismKind
2020-02-18 17:15:35,2020-02-18 17:18:12,IP Address,75.67.187.136,100,156,True,2020-02-18 17:18:12,R_1DT46UaO1BQepUO,,,,,42.8538970947265625,-70.939697265625,anonymous,EN,I do consent to participate,Slightly Agree,Mostly Disagree,Mostly Disagree,Mostly Disagree,Slightly Agree,Slightly Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,29,Male,,White/European American,,Some college,no,racial differences but abstracted?,"Enjoyable, thank you!",control,,essentialismKind
2020-02-18 17:16:51,2020-02-18 17:18:12,IP Address,24.190.45.87,100,80,True,2020-02-18 17:18:12,R_VQ4462fqNSmpkkN,,,,,40.7657012939453125,-72.85369873046875,anonymous,EN,I do consent to participate,Totally Disagree,Mostly Agree,Totally Disagree,Mostly Disagree,Mostly Agree,Mostly Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,26,Male,,White/European American,,Some college,,decision making,,control,,kindEssentialism
2020-02-18 17:15:55,2020-02-18 17:18:15,IP Address,68.170.101.16,100,140,True,2020-02-18 17:18:15,R_2UixFTjdLjLoUuw,,,,,36.2239990234375,-83.317901611328125,anonymous,EN,I do consent to participate,Mostly Disagree,Slightly Disagree,Mostly Disagree,Slightly Agree,Totally Agree,Totally Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,44,Female,,White/European American,,Some college,No,"Judgment of groups ",none,formal,,kindEssentialism
2020-02-18 17:15:36,2020-02-18 17:18:19,IP Address,68.206.167.69,100,163,True,2020-02-18 17:18:19,R_1gnDMnSUkGM19D6,,,,,29.461395263671875,-98.74680328369140625,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Agree,Totally Agree,Totally Agree,Totally Agree,Totally Agree,Mostly Agree,Translating the language of Zarpies into English,30,Female,,Black/African American,,"Master's (M.A., M.S.)",No,This study is about children's story,No,generic,,essentialismKind
2020-02-18 17:17:49,2020-02-18 17:18:23,IP Address,142.197.86.123,100,34,True,2020-02-18 17:18:24,R_2ePvD8RpDI6R05h,,,,,29.1383056640625,-80.99559783935546875,anonymous,EN,I do NOT consent to participate,,,,,,,,,,,,,,,,,,,,
2020-02-18 17:15:44,2020-02-18 17:18:24,IP Address,76.20.24.104,100,159,True,2020-02-18 17:18:24,R_V4fsTw9LM3obMyJ,,,,,38.4062957763671875,-121.4286956787109375,anonymous,EN,I do consent to participate,Slightly Agree,Mostly Disagree,Mostly Agree,Slightly Agree,Slightly Agree,Mostly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,26,Male,,White/European American,,Some college,not at all,perceptions,i thought it was fine as is,generic,,essentialismKind
2020-02-18 17:15:24,2020-02-18 17:18:36,IP Address,71.76.86.138,100,191,True,2020-02-18 17:18:36,R_wNbR8O8jZWn93QB,,,,,35.089202880859375,-80.81939697265625,anonymous,EN,I do consent to participate,Mostly Agree,Slightly Disagree,Mostly Agree,Mostly Agree,Mostly Agree,Mostly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,39,Female,,Black/African American,,"Bachelor's (B.A., B.S.)",none,How people view differences and similarities in a group of people,none,formal,,kindEssentialism
2020-02-18 17:16:36,2020-02-18 17:18:38,IP Address,24.214.209.165,100,121,True,2020-02-18 17:18:38,R_vMNd5kc7PyMx49X,,,,,27.8484954833984375,-82.794403076171875,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,32,Male,,White/European American,,Some college,,,,formal,,essentialismKind
2020-02-18 17:15:57,2020-02-18 17:18:41,IP Address,73.123.56.96,100,164,True,2020-02-18 17:18:41,R_3lYKRoRzTe2LZ26,,,,,42.5301055908203125,-71.75530242919921875,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Agree,Slightly Agree,Slightly Agree,Mostly Agree,Mostly Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,33,Male,,White/European American,,"Bachelor's (B.A., B.S.)",no,not really sure,no,formal,,essentialismKind
2020-02-18 17:15:30,2020-02-18 17:18:41,IP Address,108.34.21.224,100,190,True,2020-02-18 17:18:42,R_6X02S0zaDVo55yF,,,,,42.9766998291015625,-78.7958984375,anonymous,EN,I do consent to participate,Totally Agree,Totally Disagree,Totally Agree,Totally Disagree,Totally Agree,Totally Disagree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,33,Male,,Latino/Latina,,Some college,,,,generic,,kindEssentialism
2020-02-18 17:16:53,2020-02-18 17:18:49,IP Address,75.67.61.144,100,115,True,2020-02-18 17:18:50,R_2aJeZLELxJsmK1S,,,,,41.7465057373046875,-70.591400146484375,anonymous,EN,I do consent to participate,Mostly Disagree,Totally Agree,Totally Disagree,Mostly Disagree,Totally Agree,Slightly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,29,Male,,White/European American,,High school/GED,n/a,peoples thoughts on different groups of people,,formal,,essentialismKind
2020-02-18 17:16:01,2020-02-18 17:18:59,IP Address,75.97.98.76,100,178,True,2020-02-18 17:19:00,R_2aqqsuHODgsdjeN,,,,,40.8325042724609375,-75.7014007568359375,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,30,Male,,White/European American,,Some college,,,,control,,kindEssentialism
2020-02-18 17:16:49,2020-02-18 17:19:06,IP Address,172.90.64.205,100,136,True,2020-02-18 17:19:06,R_2DZEJ8iqJfSvLi0,,,,,33.785400390625,-117.7947998046875,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Slightly Agree,Slightly Agree,Mostly Agree,Mostly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,24,Male,,"White/European American,Latino/Latina",,High school/GED,,,,generic,,essentialismKind
2020-02-18 17:16:04,2020-02-18 17:19:06,IP Address,98.157.147.51,100,181,True,2020-02-18 17:19:06,R_1LeAJfkaHkzYfFL,,,,,36.936492919921875,-84.0901031494140625,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Mostly Agree,Mostly Disagree,Totally Agree,Totally Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,35,Female,,White/European American,,Some college,No,I'm not entirely sure,No,generic,,kindEssentialism
2020-02-18 17:16:02,2020-02-18 17:19:07,IP Address,98.242.38.121,100,184,True,2020-02-18 17:19:07,R_3KDWIXkZyB3suYM,,,,,37.675201416015625,-120.946502685546875,anonymous,EN,I do consent to participate,Slightly Disagree,Slightly Agree,Mostly Disagree,Totally Disagree,Mostly Agree,Mostly Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,31,Male,,White/European American,,"Bachelor's (B.A., B.S.)",no,to see people's opinion about the Zarpies,no,control,,kindEssentialism
2020-02-18 17:16:09,2020-02-18 17:19:08,IP Address,24.49.56.194,100,178,True,2020-02-18 17:19:08,R_1BPnYVY8QZzeMuU,,,,,39.661407470703125,-77.691497802734375,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Mostly Agree,Totally Disagree,Slightly Agree,Mostly Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,28,Male,,White/European American,,Some college,Everything was clear and easy to understand.,To examine how people view a group of people with similar traits.,No.,generic,,essentialismKind
2020-02-18 17:15:40,2020-02-18 17:19:19,IP Address,73.135.2.149,100,219,True,2020-02-18 17:19:20,R_2vZKOwbfTSNmalS,,,,,39.10479736328125,-76.747802734375,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Mostly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,37,Male,,White/European American,,Some college,none,racial bias,none,generic,,essentialismKind
2020-02-18 17:17:13,2020-02-18 17:19:26,IP Address,73.184.220.20,100,133,True,2020-02-18 17:19:26,R_3NWkI1WxwCHuAYU,,,,,33.60260009765625,-84.476898193359375,anonymous,EN,I do consent to participate,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,25,Male,,Click to write Choice 8,,Some college,no,perceptions of people,,control,,kindEssentialism
2020-02-18 17:15:43,2020-02-18 17:19:38,IP Address,98.228.202.138,100,234,True,2020-02-18 17:19:38,R_2WAo1k4Mruc9iIl,,,,,42.23089599609375,-88.33789825439453125,anonymous,EN,I do consent to participate,Totally Agree,Totally Disagree,Totally Agree,Mostly Agree,Slightly Agree,Slightly Agree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,58,Female,,White/European American,,"Master's (M.A., M.S.)",none,"A futuristic generation, robotic almost as a story for children.","None, thanks for the opportunity!",generic,,essentialismKind
2020-02-18 17:15:33,2020-02-18 17:19:42,IP Address,67.254.197.64,100,249,True,2020-02-18 17:19:42,R_31ASgLxm19V5fUg,,,,,40.75030517578125,-74.00140380859375,anonymous,EN,I do consent to participate,Mostly Agree,Mostly Disagree,Slightly Disagree,Mostly Disagree,Mostly Agree,Slightly Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,25,Male,,White/European American,,"Bachelor's (B.A., B.S.)",none,how we feel towards groups of people,no changes needed,control,,kindEssentialism
2020-02-18 17:17:25,2020-02-18 17:19:47,IP Address,73.157.24.178,100,142,True,2020-02-18 17:19:47,R_1gGSsunmuO0etJy,,,,,46.99609375,-122.73809814453125,anonymous,EN,I do consent to participate,Slightly Agree,Mostly Disagree,Slightly Agree,Mostly Agree,Slightly Agree,Slightly Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,33,Female,,White/European American,,Some college,no,perceptions on traits,no,generic,,kindEssentialism
2020-02-18 17:17:16,2020-02-18 17:20:01,IP Address,168.149.143.83,100,165,True,2020-02-18 17:20:02,R_RkRzAZC46VLaEZb,,,,,40.71490478515625,-73.9893035888671875,anonymous,EN,I do consent to participate,Totally Disagree,Slightly Agree,Mostly Disagree,Slightly Agree,Totally Agree,Totally Agree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,38,Male,,White/European American,,"Bachelor's (B.A., B.S.)",no,do statements about people mean that they are automatically something else,no,formal,,kindEssentialism
2020-02-18 17:16:45,2020-02-18 17:20:13,IP Address,108.194.200.239,100,207,True,2020-02-18 17:20:13,R_PzjIbESZxzF3utr,,,,,29.548492431640625,-90.60870361328125,anonymous,EN,I do consent to participate,Totally Agree,Totally Disagree,Totally Agree,Slightly Disagree,Totally Agree,Totally Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,34,Female,,White/European American,,High school/GED,None,Learning about Zarpies.,No,generic,,kindEssentialism
2020-02-18 17:16:22,2020-02-18 17:20:13,IP Address,65.249.163.125,100,230,True,2020-02-18 17:20:13,R_2sk8RBsdQfo1VTz,,,,,40.730804443359375,-73.99749755859375,anonymous,EN,I do consent to participate,Mostly Agree,Totally Agree,Totally Agree,Mostly Agree,Slightly Agree,Totally Agree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,26,Female,,White/European American,,"Bachelor's (B.A., B.S.)",This survey no confusing,This survey good think study,This survey in the study good improve,formal,,essentialismKind
2020-02-18 17:17:13,2020-02-18 17:20:21,IP Address,75.131.106.237,100,187,True,2020-02-18 17:20:21,R_2rMDOzpgu1bKWLE,,,,,43.4340972900390625,-84.00460052490234375,anonymous,EN,I do consent to participate,Slightly Disagree,Slightly Agree,Mostly Disagree,Slightly Agree,Totally Agree,Totally Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,35,Male,,White/European American,,High school/GED,All was clear and worked as it should.,I haven't the faintest idea.,All's good.,control,,essentialismKind
2020-02-18 17:15:30,2020-02-18 17:20:31,IP Address,208.191.157.43,100,300,True,2020-02-18 17:20:31,R_3lWg5A7vHbynZse,,,,,30.2881011962890625,-97.76399993896484375,anonymous,EN,I do consent to participate,Mostly Disagree,Mostly Agree,Totally Disagree,Mostly Disagree,Mostly Agree,Totally Disagree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,54,Female,,White/European American,,"Master's (M.A., M.S.)",NA,"I don’t know, but it was interesting.",Can’t think of a thing!,control,,essentialismKind
2020-02-18 17:16:11,2020-02-18 17:20:45,IP Address,73.145.95.120,100,273,True,2020-02-18 17:20:46,R_eu1OTnMeuRm5mFj,,,,,42.37750244140625,-82.951202392578125,anonymous,EN,I do consent to participate,Mostly Disagree,Mostly Agree,Totally Disagree,Totally Disagree,Totally Agree,Totally Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,30,Male,,Black/African American,,Some college,No,Differences within groups,No,control,,kindEssentialism
2020-02-18 17:16:58,2020-02-18 17:20:45,IP Address,71.32.54.145,100,227,True,2020-02-18 17:20:46,R_1eEFDKNza0XbIRz,,,,,46.852203369140625,-114.02140045166015625,anonymous,EN,I do consent to participate,Mostly Agree,Totally Agree,Slightly Agree,Totally Agree,Mostly Agree,Slightly Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,39,Female,,Black/African American,,"Master's (M.A., M.S.)",no,study about a children's story,very improve,formal,,kindEssentialism
2020-02-18 17:16:01,2020-02-18 17:20:48,IP Address,216.16.45.57,100,286,True,2020-02-18 17:20:48,R_REso80t5x9dyVln,,,,,43.628997802734375,-95.60590362548828125,anonymous,EN,I do consent to participate,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Totally Agree,Slightly Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,31,Male,,White/European American,,Some college,,not a clue,,formal,,essentialismKind
2020-02-18 17:16:07,2020-02-18 17:20:54,IP Address,73.189.183.209,100,286,True,2020-02-18 17:20:54,R_1g74k7UAyK7XdHb,,,,,37.3177032470703125,-121.9380035400390625,anonymous,EN,I do consent to participate,Totally Disagree,Totally Disagree,Slightly Agree,Slightly Agree,Totally Agree,Totally Agree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,36,Male,,"White/European American,Click to write Choice 7,Click to write Choice 9",,"Bachelor's (B.A., B.S.)",no,i dont know,"more questions per page, too many pages as is",generic,,essentialismKind
2020-02-18 17:16:55,2020-02-18 17:20:54,IP Address,104.185.60.63,100,239,True,2020-02-18 17:20:54,R_2s1GdFaDIsecaxO,,,,,32.377899169921875,-90.12729644775390625,anonymous,EN,I do consent to participate,Mostly Disagree,Mostly Disagree,Mostly Disagree,Mostly Disagree,Mostly Agree,Mostly Agree,Mostly Disagree,Learning about Zarpies and answering multiple choice questions about them,52,Female,,"White/European American,Asian/Asian American",,"Doctoral (Ph.D., J.D., M.D.)",no,Exploring perceptions of racial differences.,None.,control,,essentialismKind
2020-02-18 17:15:34,2020-02-18 17:21:02,IP Address,104.35.170.65,100,327,True,2020-02-18 17:21:02,R_1hxU08tqqswgw89,,,,,34.1483001708984375,-118.0016021728515625,anonymous,EN,I do consent to participate,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Mostly Agree,Learning about Zarpies and answering multiple choice questions about them,56,Female,,White/European American,,High school/GED,no,I don't know,no,formal,,kindEssentialism
2020-02-18 17:17:17,2020-02-18 17:21:17,IP Address,71.78.219.168,100,239,True,2020-02-18 17:21:18,R_1d9Wlcf8MC4dnPa,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,I do consent to participate,Totally Agree,Totally Disagree,Mostly Agree,Slightly Disagree,Totally Agree,Mostly Agree,Slightly Disagree,Learning about Zarpies and answering multiple choice questions about them,35,Male,,White/European American,,"Bachelor's (B.A., B.S.)",NO,UNDERSTANDING OPINIONS,,generic,,kindEssentialism
2020-02-18 17:15:28,2020-02-18 17:21:19,IP Address,99.155.177.238,100,351,True,2020-02-18 17:21:19,R_sbsFi4IRT1bRP69,,,,,39.2733001708984375,-94.56939697265625,anonymous,EN,I do consent to participate,Slightly Disagree,Slightly Agree,Mostly Agree,Slightly Agree,Mostly Agree,Slightly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,24,Male,,White/European American,,"Bachelor's (B.A., B.S.)",no,Not really sure!,NOPE,formal,,kindEssentialism
2020-02-18 17:19:38,2020-02-18 17:21:39,IP Address,74.130.64.189,100,120,True,2020-02-18 17:21:40,R_3hsSuVr4YntpAWJ,,,,,38.263397216796875,-85.67299652099609375,anonymous,EN,I do consent to participate,Slightly Agree,Slightly Disagree,Slightly Agree,Mostly Disagree,Mostly Agree,Mostly Agree,Slightly Agree,Learning about Zarpies and answering multiple choice questions about them,36,Female,,White/European American,,"Bachelor's (B.A., B.S.)",no,Something about groups in general,NA,formal,,kindEssentialism
2020-02-18 17:16:43,2020-02-18 17:21:41,IP Address,104.34.34.110,100,297,True,2020-02-18 17:21:41,R_1n7TjFN7KHwa8lN,,,,,33.8419036865234375,-117.60430145263671875,anonymous,EN,I do consent to participate,Totally Agree,Totally Disagree,Mostly Agree,Mostly Agree,Mostly Agree,Slightly Agree,Totally Agree,Learning about Zarpies and answering multiple choice questions about them,32,Male,,Latino/Latina,,High school/GED,no,I felt this survey had to do with race and how one person my stereotype thier race.,n/a,generic,,essentialismKind
2020-02-18 17:16:34,2020-02-18 17:22:11,IP Address,76.100.197.204,100,336,True,2020-02-18 17:22:11,R_3G9AFl19vOEAQre,,,,,39.324798583984375,-76.606201171875,anonymous,EN,I do consent to participate,Mostly Agree,Slightly Disagree,Totally Disagree,Totally Disagree,Totally Agree,Totally Agree,Totally Disagree,Learning about Zarpies and answering multiple choice questions about them,48,Male,,Black/African American,,"Bachelor's (B.A., B.S.)","No, I just thought the stars they wore had a significance","Teaching about how people can become labeled ",none,formal,,essentialismKind
2020-02-18 17:18:21,2020-02-18 17:22:36,IP Address,161.123.151.214,100,255,True,2020-02-18 17:22:37,R_31dyEpavmg0rRVD,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,I do consent to participate,Mostly Agree,Totally Agree,Mostly Agree,Mostly Agree,Totally Agree,Mostly Agree,Mostly Agree,Translating the language of Zarpies into English,29,Male,,White/European American,,"Master's (M.A., M.S.)",nothing,"the study was children, and respond to some questions about characters in the story.",very nice,control,,essentialismKind
